;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601291477;26.09.2011;HONEYWELL CAPITAL MANAGEMENT LLC;ALDERMORE BANK PLC;GB;6021 / 6029 / 6035 / 6036 / 6159 / 6163;Capital Increase unknown stake %
2.;1601098980;31.07.2008;HONEYWELL CAPITAL MANAGEMENT LLC;MBA POLYMERS INC.;US;3089 / 4953;Minority stake unknown %
3.;1601431027;19.12.2012;HONEYWELL CAPITAL MANAGEMENT LLC;TOWRY GROUP LTD;GB;6282;Minority stake unknown %
4.;1941076924;02.05.2018;HONEYWELL CAPITAL MANAGEMENT LLC;SOFT ROBOTICS INC.;US;3559 / 7371 / 8731;Minority stake unknown %
5.;1941021180;08.01.2018;HONEYWELL CAPITAL MANAGEMENT LLC;ELEMENT ANALYTICS INC.;US;7374;Minority stake unknown %
6.;1941125112;19.09.2018;HONEYWELL CAPITAL MANAGEMENT LLC;IOTIUM INC.;US;7374;Minority stake unknown %
