;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
108.;1601229604;16.11.2010;INTEL CAPITAL CORPORATION;SILKROAD TECHNOLOGY INC.;US;7371 / 7374;Minority stake unknown %
109.;526775;21.03.2007;INTEL CAPITAL CORPORATION;LEGEND SILICON CORPORATION;US;3571 / 3572 / 3575 / 3651 / 3652 / 3661 / 3663 / 3669 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 3695 / 3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845 / 7372;Minority stake unknown %
110.;514175;07.02.2007;INTEL CAPITAL CORPORATION;BECEEM COMMUNICATIONS INC.;US;3661;Minority stake unknown %
111.;482923;;INTEL CAPITAL CORPORATION;NEUSOFT LTD;CN;7371 / 7372;Minority stake unknown %
112.;372326;09.11.2005;INTEL CAPITAL CORPORATION;NANOSYS INC.;US;8731;Minority stake unknown %
113.;251598;30.01.2001;INTEL CAPITAL CORPORATION;VPACKET COMMUNICATIONS INC.;US;3661 / 4899 / 7371;Minority stake unknown %
114.;1601477918;20.05.2013;INTEL CAPITAL CORPORATION;REEBONZ LTD;SG;5621 / 5699 / 5944 / 5961;Minority stake unknown %
115.;1601436032;18.04.2013;INTEL CAPITAL CORPORATION;GUAVUS INC.;US;7372 / 7374;Minority stake unknown %
116.;1909253553;30.06.2015;INTEL CAPITAL CORPORATION;VENAFI INC.;US;7374;Minority stake unknown %
117.;1601088523;18.06.2009;INTEL CAPITAL CORPORATION;IMAGINATION TECHNOLOGIES GROUP PLC;GB;3674 / 7371 / 7374;Minority stake increased from 3.057% to 14.023%
118.;1601380428;21.06.2012;INTEL CAPITAL CORPORATION;PRIVAT TREID OOO;RU;5961;Minority stake unknown %
119.;154302;05.03.2003;INTEL CAPITAL CORPORATION;GROOVE NETWORKS INC.;US;7371 / 7372;Minority stake unknown %
120.;202143;27.11.2000;INTEL CAPITAL CORPORATION;PRIMARION INC.;US;3674;Minority stake unknown %
121.;284091;10.01.2001;INTEL CAPITAL CORPORATION;PEREGRINE SEMICONDUCTOR CORPORATION;US;3674;Minority stake unknown %
122.;1941030833;29.01.2018;INTEL CAPITAL CORPORATION;ALEDIA SAS;FR;3674 / 8731;Minority stake unknown %
123.;209346;10.05.2000;INTEL CAPITAL CORPORATION;VIRTUAL INK CORPORATION;US;3669 / 7371 / 7372;Minority stake unknown %
124.;1601121794;13.09.2007;INTEL CAPITAL CORPORATION;GEMFIRE CORPORATION;US;3674 / 5065 / 8731;Minority stake unknown %
125.;599895;27.11.2007;INTEL CAPITAL CORPORATION;PLATFORM SOLUTIONS INC.;US;3572 / 7371;Minority stake unknown %
126.;486212;23.10.2006;INTEL CAPITAL CORPORATION;FPT CORPORATION;VN;4899 / 5045 / 5731 / 7371 / 7372 / 7373 / 7379;Minority stake 10%
127.;374889;30.04.2006;INTEL CAPITAL CORPORATION;NEGEVTECH LTD;IL;3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845;Minority stake unknown %
128.;90241;05.09.2000;INTEL CAPITAL CORPORATION;AIRSLIDE SYSTEMS INC.;US;3661;Minority stake unknown %
129.;1601313991;03.11.2011;INTEL CAPITAL CORPORATION;DELIVERY AGENT INC.;US;7311 / 7374;Minority stake unknown %
130.;214238;06.01.2004;INTEL CAPITAL CORPORATION;SANDBURST CORPORATION;US;3674 / 8731;Minority stake unknown %
131.;1909292816;30.09.2015;INTEL CAPITAL CORPORATION;VECTRA NETWORKS INC.;US;3575 / 7371 / 7372;Minority stake unknown %
132.;1909163763;04.11.2014;INTEL CAPITAL CORPORATION;GIGYA INC.;US;7374;Minority stake unknown %
133.;1909149229;24.09.2014;INTEL CAPITAL CORPORATION;E LA CARTE INC.;US;3571;Minority stake unknown %
134.;1601023752;22.09.2008;INTEL CAPITAL CORPORATION;3LEAF SYSTEMS INC.;US;3571 / 3572 / 3575 / 3661 / 7371;Minority stake unknown %
135.;273901;31.07.2000;INTEL CAPITAL CORPORATION;DATACORE SOFTWARE CORPORATION;US;7371 / 7372;Minority stake unknown %
136.;190915;27.01.2000;INTEL CAPITAL CORPORATION;SILICON WAVE INC.;US;3674;Minority stake unknown %
137.;166156;04.06.2001;INTEL CAPITAL CORPORATION;BANDERACOM INC.;US;3674;Minority stake unknown %
138.;146123;05.06.2000;INTEL CAPITAL CORPORATION;COLLABNET INC.;US;7372 / 7374;Minority stake unknown %
139.;119884;26.03.2002;INTEL CAPITAL CORPORATION;IKANOS COMMUNICATIONS INC.;US;3674 / 7371 / 7372;Minority stake unknown %
140.;1601361074;14.05.2012;INTEL CAPITAL CORPORATION;SILKROAD TECHNOLOGY HOLDINGS INC.;US;7374;Minority stake unknown %
141.;1909500507;24.10.2016;INTEL CAPITAL CORPORATION;PAXATA INC.;US;7374;Minority stake unknown %
142.;1909401485;11.02.2016;INTEL CAPITAL CORPORATION;DATAROBOT INC.;US;7374;Minority stake unknown %
143.;238589;08.01.2001;INTEL CAPITAL CORPORATION;ENTERCEPT SECURITY TECHNOLOGIES;US;7371 / 7372;Minority stake unknown %
144.;151085;09.07.2003;INTEL CAPITAL CORPORATION;IKANOS COMMUNICATIONS INC.;US;3674 / 7371 / 7372;Minority stake unknown %
145.;273949;24.05.2000;INTEL CAPITAL CORPORATION;WEBPLAN INC.;CA;7371;Minority stake unknown %
146.;1909179480;16.12.2014;INTEL CAPITAL CORPORATION;INVISAGE TECHNOLOGIES INC.;US;3674 / 8731;Minority stake unknown %
