;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601273644;26.05.2011;SK TELECOM VENTURES;KABAM INC.;US;7374;Minority stake unknown %
2.;648625;04.11.2008;SK TELECOM VENTURES;ROCKYOU INC.;US;7374;Minority stake unknown %
3.;1601435446;08.01.2013;SK TELECOM VENTURES;CHARTBOOST INC.;US;7374;Minority stake unknown %
4.;1601275649;16.05.2011;SK TELECOM VENTURES;ANDYPAY INC.;US;7371;Minority stake unknown %
5.;1601236692;27.10.2010;SK TELECOM VENTURES;UCIRRUS CORPORATION;US;7371 / 7374;Minority stake unknown %
6.;1601311130;24.10.2011;SK TELECOM VENTURES;CHARTBOOST INC.;US;7374;Minority stake unknown %
7.;1601341597;08.02.2012;SK TELECOM VENTURES;SCHOOLFEED INC.;US;7374 / 8999;Minority stake unknown %
8.;1601274132;10.05.2011;SK TELECOM VENTURES;SEQUENT SOFTWARE INC.;US;7374;Minority stake unknown %
