;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
40.;1943054578;05.09.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING XUANKE TECHNOLOGY CO., LTD;CN;7374;Minority stake 20%
41.;1943009928;01.12.2017;TENCENT INDUSTRY WIN-WIN FUND;MISSFRESH CONVENIENT SHOPPING;CN;5411;Minority stake unknown %
42.;1943035157;03.08.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING TOMORROW WORMHOLE TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
43.;1943010182;14.03.2016;TENCENT INDUSTRY WIN-WIN FUND;BEIJING SOYOUNG TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
44.;1909199398;21.12.2014;TENCENT INDUSTRY WIN-WIN FUND;BEIJING DAOXI YOUXUN TECHNOLOGY CO., LTD;CN;7371 / 7372 / 7374;Minority stake unknown %
45.;1943024565;21.03.2018;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN CARBON ATOMS TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
46.;1943048862;07.08.2018;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI ENFLAME TECHNOLOGY CO., LTD;CN;3674;Minority stake unknown %
47.;1907064260;21.03.2017;TENCENT INDUSTRY WIN-WIN FUND;SHENZHEN LANSHENG TIANXIA INFORMATION TECHNOLOGY CO., LTD;CN;7374;Minority stake 10%
48.;1907103973;22.07.2015;TENCENT INDUSTRY WIN-WIN FUND;SHANGHAI XIANGXUE NETWORK TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
49.;1943035167;13.02.2018;TENCENT INDUSTRY WIN-WIN FUND;BEIJING TOMORROW WORMHOLE TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
50.;1907116277;07.09.2015;TENCENT INDUSTRY WIN-WIN FUND;CHENGDU YIYUN TECHNOLOGY CO., LTD;CN;7372;Minority stake unknown %
51.;1907152955;16.05.2015;TENCENT INDUSTRY WIN-WIN FUND;CHENGDU YUNLI TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
