;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
111.;1909018420;10.09.2013;SAP VENTURES;NARRATIVE SCIENCE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
112.;458787;06.10.2005;SAP VENTURES;VOICEOBJECTS AG;DE;7371 / 7372;Minority stake unknown %
113.;1941018641;13.12.2017;SAP VENTURES;FOLLOWANALYTICS INC.;US;7374;Minority stake unknown %
114.;1909570244;19.04.2017;SAP VENTURES;NARRATIVE SCIENCE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
115.;1601285580;14.07.2011;SAP VENTURES;JASPERSOFT CORPORATION;US;7371 / 7372;Minority stake unknown %
116.;148058;23.07.2003;SAP VENTURES;INDX SOFTWARE CORPORATION;US;7371 / 7372;Minority stake unknown %
117.;460173;18.07.2006;SAP VENTURES;VOICEOBJECTS INC.;US;7371 / 7372;Minority stake unknown %
118.;1601121251;21.07.2008;SAP VENTURES;QUMU INC.;US;7371 / 7372;Minority stake unknown %
119.;1601185748;30.06.2010;SAP VENTURES;AEPONA LTD;GB;7371 / 7372;Minority stake unknown %
120.;1909522177;20.12.2016;SAP VENTURES;LEANDATA INC.;US;7372 / 7374;Minority stake unknown %
121.;1909173498;28.11.2014;SAP VENTURES;NARRATIVE SCIENCE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
122.;1633041972;10.10.2011;SAP VENTURES;ONE 97 COMMUNICATIONS LTD;IN;7372 / 7374;Minority stake unknown %
123.;1633034830;07.06.2011;SAP VENTURES;JUST DIAL PVT LTD;IN;7371 / 8999;Minority stake unknown %
124.;1601193374;02.06.2010;SAP VENTURES;DEVICEVM INC.;US;7371 / 7372;Minority stake unknown %
125.;1601124873;05.10.2008;SAP VENTURES;SONOA SYSTEMS INC.;US;7374;Minority stake unknown %
126.;1909297365;15.10.2015;SAP VENTURES;FOLLOWANALYTICS INC.;US;7374;Minority stake unknown %
127.;1601016803;24.07.2008;SAP VENTURES;IYOGI TECHNICAL SERVICES PVT LTD;IN;7389 / 8999;Minority stake unknown %
128.;592626;05.11.2007;SAP VENTURES;SOCIALTEXT INC.;US;7371 / 7372;Minority stake unknown %
129.;288800;28.10.2004;SAP VENTURES;T3CI INC.;US;7371 / 7372;Minority stake unknown %
130.;615999;22.01.2008;SAP VENTURES;ALFRESCO SOFTWARE LTD;GB;7372 / 7374;Minority stake unknown %
131.;1909632190;20.09.2017;SAP VENTURES;CLEARMETAL INC.;US;7374;Minority stake unknown %
132.;532682;23.04.2007;SAP VENTURES;AMBERPOINT INC.;US;7371 / 7372;Minority stake unknown %
133.;1601114737;11.01.2005;SAP VENTURES;RETAIL SOLUTIONS INC.;US;7371 / 7372;Minority stake unknown %
134.;1601445393;27.02.2013;SAP VENTURES;GILD INC.;US;7371 / 7374;Minority stake unknown %
135.;1601234176;14.12.2010;SAP VENTURES;LAVANTE INC.;US;7372 / 7374;Minority stake unknown %
136.;527027;31.12.2006;SAP VENTURES;COGHEAD INC.;US;7371 / 7372;Minority stake unknown %
137.;349729;03.06.2005;SAP VENTURES;FACTORY LOGIC INC.;US;7371 / 7373;Minority stake unknown %
138.;343445;21.06.2005;SAP VENTURES;PING IDENTITY CORPORATION;US;7374;Minority stake unknown %
139.;143767;19.12.2002;SAP VENTURES;DATRIA SYSTEMS INC.;US;7371 / 7372;Minority stake unknown %
140.;246586;11.05.2004;SAP VENTURES;CABC INC.;US;4899 / 7371;Minority stake unknown %
141.;1601283922;05.07.2011;SAP VENTURES;PAYSCALE INC.;US;7372 / 7374;Minority stake unknown %
142.;412292;23.01.2006;SAP VENTURES;AVOKIA INC.;CA;7291 / 7371 / 8721;Minority stake unknown %
143.;1941058637;27.03.2018;SAP VENTURES;TIM TALENT SAS;FR;7372 / 7374;Minority stake unknown %
144.;1601260570;05.04.2011;SAP VENTURES;ALTERYX INC.;US;7374;Minority stake unknown %
145.;300996;08.12.2004;SAP VENTURES;IBSN INC.;US;7371 / 7372;Minority stake unknown %
146.;83595;09.02.2001;SAP VENTURES;PAYMENTOR;DK;7371;Minority stake unknown %
147.;1601050090;09.02.2009;SAP VENTURES;BLACK DUCK SOFTWARE INC.;US;7371 / 7372;Minority stake unknown %
148.;166834;13.05.2003;SAP VENTURES;INTALIO INC.;US;7371 / 7372;Minority stake unknown %
149.;109576;23.01.2002;SAP VENTURES;PROSYST SOFTWARE AG;DE;7371;Minority stake unknown %
150.;382366;30.09.2005;SAP VENTURES;SOCIALTEXT INC.;US;7371 / 7372;Minority stake unknown %
151.;266669;27.07.2004;SAP VENTURES;OPSTECHNOLOGY INC.;US;7371 / 7372;Minority stake unknown %
152.;180747;04.03.2004;SAP VENTURES;GARDEROS GMBH;DE;7371;Minority stake unknown %
153.;1909622453;28.02.2017;SAP VENTURES;DROP LOYALTY INC.;CA;7374;Minority stake unknown %
