;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1601076241;10.05.2009;PANASONIC VENTURE GROUP;ZETTACORE INC.;US;3572 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679 / 8731;Minority stake unknown %
2.;1601095224;14.07.2009;PANASONIC VENTURE GROUP;KOVIO INC.;US;3674 / 8731;Minority stake unknown %
3.;1601114071;30.09.2008;PANASONIC VENTURE GROUP;AVNERA CORPORATION;US;3674;Minority stake unknown %
4.;1601151098;15.01.2010;PANASONIC VENTURE GROUP;AVERNA TECHNOLOGIES INC.;CA;3829 / 7371 / 7372;Minority stake unknown %
5.;1941129235;06.09.2018;PANASONIC VENTURE GROUP;SEVEN DREAMERS LABORATORIES, INC.;JP;3633 / 3949 / 8731;Minority stake unknown %
6.;1601202665;12.07.2010;PANASONIC VENTURE GROUP;ALCHIMER SA;FR;3674 / 3679 / 8731;Minority stake unknown %
