;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
50.;1907232703;21.11.2017;QUALCOMM VENTURES;HEALTHVISTA INDIA PVT LTD;IN;8082;Minority stake unknown %
51.;1909547155;23.02.2017;QUALCOMM VENTURES;AIRMAP INC.;US;7374;Minority stake unknown %
52.;1601311394;24.10.2011;QUALCOMM VENTURES;WAZE MARKET INC.;US;7371 / 7372 / 7382;Minority stake unknown %
53.;263963;16.07.2004;QUALCOMM VENTURES;IRIDIGM DISPLAY CORPORATION;US;3357 / 3624 / 3629 / 3643 / 3644 / 3691 / 3692 / 3699;Minority stake unknown %
54.;1601396587;21.08.2012;QUALCOMM VENTURES;TELCARE INC.;US;3845 / 7371 / 7372;Minority stake unknown %
55.;1909650744;07.11.2017;QUALCOMM VENTURES;EXCELERO STORAGE INC.;US;7372 / 7374;Minority stake unknown %
56.;1909650694;07.11.2017;QUALCOMM VENTURES;EXCELERO STORAGE INC.;US;7372 / 7374;Minority stake unknown %
57.;1909393652;08.04.2015;QUALCOMM VENTURES;99 TECNOLOGIA LTDA;BR;7372;Minority stake unknown %
58.;1909251511;25.06.2015;QUALCOMM VENTURES;CURBSIDE INC.;US;7372;Minority stake unknown %
59.;1601276033;07.12.2010;QUALCOMM VENTURES;WAZE INC.;US;7371;Minority stake unknown %
60.;1909643193;26.07.2017;QUALCOMM VENTURES;AUGUST HOME INC.;US;3429;Minority stake unknown %
61.;1601436151;10.01.2013;QUALCOMM VENTURES;STREETLINE INC.;US;7372 / 7374;Minority stake unknown %
62.;1601222772;20.01.2011;QUALCOMM VENTURES;CHACHA SEARCH INC.;US;7371 / 7374 / 8999;Minority stake unknown %
63.;1907175269;23.09.2016;QUALCOMM VENTURES;ZEROTECH (BEIJING) INTELLIGENT TECHNOLOGY CO., LTD;CN;3721 / 7371 / 7372;Minority stake unknown %
64.;1907122040;16.12.2015;QUALCOMM VENTURES;SARVALOKA SERVICES ON CALL PVT LTD;IN;7374;Minority stake unknown %
65.;1909071342;12.02.2014;QUALCOMM VENTURES;WELLTOK INC.;US;7372 / 7374;Minority stake unknown %
66.;1601412770;18.10.2012;QUALCOMM VENTURES;VALIDITY SENSORS INC.;US;3674 / 7371 / 8731;Minority stake unknown %
67.;1943049042;07.08.2018;QUALCOMM VENTURES;SHADOWFAX TECHNOLOGIES PVT LTD;IN;7374;Minority stake unknown %
68.;1909577963;09.05.2017;QUALCOMM VENTURES;EDICO GENOME CORPORATION;US;3826 / 7372 / 7374;Minority stake unknown %
69.;1909217673;02.04.2015;QUALCOMM VENTURES;TAPINGO INC.;US;7372 / 7374;Minority stake unknown %
70.;603250;17.12.2007;QUALCOMM VENTURES;STREAMEZZO SA;FR;7371 / 7372;Minority stake unknown %
71.;588151;23.10.2007;QUALCOMM VENTURES;SIIMPEL CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
72.;151237;24.06.2002;QUALCOMM VENTURES;IRIDIGM DISPLAY CORPORATION;US;3357 / 3624 / 3629 / 3643 / 3644 / 3691 / 3692 / 3699;Minority stake unknown %
73.;641719;31.03.2008;QUALCOMM VENTURES;TRIAGE WIRELESS INC.;US;3841 / 8731;Minority stake unknown %
74.;1941125393;07.11.2017;QUALCOMM VENTURES;CARGOX TRANSPORTADORA;BR;7374;Minority stake unknown %
75.;1909606919;19.07.2017;QUALCOMM VENTURES;PARTICLE INDUSTRIES INC.;US;3575 / 7374;Minority stake unknown %
76.;1909222280;16.04.2015;QUALCOMM VENTURES;NAVDY INC.;US;3575;Minority stake unknown %
77.;1907023719;26.04.2013;QUALCOMM VENTURES;BEIJING EASTERN CHEYUN INFORMATION & TECHNOLOGY CO., LTD;CN;7372 / 7374;Minority stake unknown %
78.;1601470683;30.04.2013;QUALCOMM VENTURES;PELICAN IMAGING CORPORATION;US;3861;Minority stake unknown %
79.;610385;07.01.2008;QUALCOMM VENTURES;VALIDITY SENSORS INC.;US;3674 / 7371 / 8731;Minority stake unknown %
80.;430105;17.10.2006;QUALCOMM VENTURES;VALIDITY SENSORS INC.;US;3674 / 7371 / 8731;Minority stake unknown %
81.;1907056567;21.12.2015;QUALCOMM VENTURES;BEIJING MEMBLAZE TECHNOLOGY CO., LTD;CN;3572;Minority stake unknown %
82.;654038;28.04.2008;QUALCOMM VENTURES;INVENSENSE INC.;US;3674 / 3823;Minority stake unknown %
83.;1909275232;19.08.2015;QUALCOMM VENTURES;SIKLU INC.;US;3651;Minority stake unknown %
84.;1633085196;10.07.2012;QUALCOMM VENTURES;BIG SHOE BAZAAR INDIA PVT LTD;IN;3171 / 5611 / 5621 / 5641 / 5651 / 5661 / 5699 / 5722 / 5948 / 5961;Minority stake unknown %
85.;1909090157;11.08.2014;QUALCOMM VENTURES;EYESEE360 INC.;US;3827 / 7371;Minority stake unknown %
86.;1907241403;12.09.2017;QUALCOMM VENTURES;TONBO IMAGING PVT LTD;IN;3575 / 3663 / 3861 / 7382;Minority stake unknown %
87.;1909091652;08.04.2014;QUALCOMM VENTURES;INEDA SYSTEMS INC.;US;3674 / 8731;Minority stake
88.;1909118479;25.06.2014;QUALCOMM VENTURES;PLUMGRID INC.;US;7371;Minority stake unknown %
89.;1909185023;01.04.2015;QUALCOMM VENTURES;NOOM INC.;US;7371 / 7372;Minority stake unknown %
90.;1909553358;08.03.2017;QUALCOMM VENTURES;SCYLLADB INC.;US;7372 / 7374;Minority stake unknown %
91.;1909122154;07.07.2014;QUALCOMM VENTURES;MATTERPORT INC.;US;3575 / 3861 / 7371 / 7372 / 7374;Minority stake unknown %
92.;1907193911;19.01.2017;QUALCOMM VENTURES;FLIRTEY LTD;NZ;4215 / 4513;Minority stake unknown %
93.;1907077670;31.03.2015;QUALCOMM VENTURES;APPSDAILY SOLUTIONS PVT LTD;IN;7372;Minority stake unknown %
94.;1633097377;25.09.2012;QUALCOMM VENTURES;CAPILLARY TECHNOLOGIES PVT LTD;IN;7372 / 7374;Minority stake unknown %
95.;1601324411;12.12.2011;QUALCOMM VENTURES;IP.ACCESS LTD;GB;3571 / 3572 / 3575 / 3661 / 3663 / 3669 / 7371 / 7372;Minority stake unknown %
96.;1909609571;25.07.2017;QUALCOMM VENTURES;PROSPERA TECHNOLOGIES LTD;IL;3829 / 7372 / 7374;Minority stake unknown %
97.;1909193862;29.01.2015;QUALCOMM VENTURES;WHISTLE LABS INC.;US;3812 / 7372;Minority stake unknown %
98.;438787;23.05.2007;QUALCOMM VENTURES;STREAMEZZO SA;FR;7371 / 7372;Minority stake unknown %
99.;1601444229;06.02.2013;QUALCOMM VENTURES;SOTERA WIRELESS INC.;US;3845;Minority stake unknown %
100.;1909550063;01.03.2017;QUALCOMM VENTURES;MEDISAFE PROJECT LTD;IL;7374;Minority stake unknown %
101.;1941063674;24.08.2015;QUALCOMM VENTURES;LOGGI TECNOLOGIA LTDA;BR;7374;Minority stake unknown %
102.;1909062695;20.01.2014;QUALCOMM VENTURES;FON WIRELESS LTD;GB;4899;Minority stake unknown %
103.;1601446506;13.02.2013;QUALCOMM VENTURES;VERVE WIRELESS INC.;US;7374;Minority stake unknown %
104.;559461;05.11.2007;QUALCOMM VENTURES;KIRUSA INC.;US;7374 / 8999;Minority stake unknown %
105.;1909035787;29.10.2013;QUALCOMM VENTURES;SIGHTERA TECHNOLOGIES LTD;IL;7374;Minority stake unknown %
106.;1909565052;13.12.2016;QUALCOMM VENTURES;QUINTO ANDAR SERVICOS IMOBILIARIOS LTDA;BR;7374;Minority stake unknown %
107.;1601204900;20.07.2010;QUALCOMM VENTURES;VALIDITY SENSORS INC.;US;3674 / 7371 / 8731;Minority stake unknown %
108.;1907128283;20.11.2015;QUALCOMM VENTURES;MINDTICKLE INTERACTIVE MEDIA PVT LTD;IN;7372 / 7374;Minority stake unknown %
109.;1909115796;18.06.2014;QUALCOMM VENTURES;MANTISVISION LTD;IL;3861 / 7371;Minority stake unknown %
110.;1601324736;13.12.2011;QUALCOMM VENTURES;SOTERA WIRELESS INC.;US;3845;Minority stake unknown %
111.;1601432431;27.12.2012;QUALCOMM VENTURES;GOBALTO INC.;US;7371 / 7372 / 7374;Minority stake unknown %
112.;1909028647;08.10.2013;QUALCOMM VENTURES;ENTERPROID INC.;US;7372 / 7374;Minority stake unknown %
113.;1909035263;24.10.2013;QUALCOMM VENTURES;TABTALE LTD;IL;7371 / 7372;Minority stake unknown %
114.;1601409524;25.04.2013;QUALCOMM VENTURES;BIG SHOE BAZAAR INDIA PVT LTD;IN;3171 / 5611 / 5621 / 5641 / 5651 / 5661 / 5699 / 5722 / 5948 / 5961;Minority stake unknown %
115.;1907175309;21.09.2016;QUALCOMM VENTURES;SICHUAN BELL EDUCATION TECHNOLOGY CO., LTD;CN;8299;Minority stake unknown %
116.;1601338983;01.02.2012;QUALCOMM VENTURES;VIDEOPLAZA AB;SE;7374;Minority stake unknown %
117.;1601391319;20.01.2012;QUALCOMM VENTURES;AVALANCHE TECHNOLOGY INC.;US;3572;Minority stake unknown %
118.;1909005009;29.07.2013;QUALCOMM VENTURES;GRAND CRU OY;FI;7371;Minority stake unknown %
119.;1909318032;08.12.2015;QUALCOMM VENTURES;SWIFT NAVIGATION INC.;US;3663 / 7371 / 7372;Minority stake unknown %
120.;1601306925;06.10.2011;QUALCOMM VENTURES;ENTERPROID INC.;US;7372 / 7374;Minority stake unknown %
121.;502977;03.01.2007;QUALCOMM VENTURES;INVENSENSE INC.;US;3674 / 3823;Minority stake unknown %
122.;1601377191;11.06.2012;QUALCOMM VENTURES;ALIVECOR INC.;US;7371 / 7372;Minority stake unknown %
123.;1941073007;25.04.2018;QUALCOMM VENTURES;SCYLLADB INC.;US;7372 / 7374;Minority stake unknown %
124.;1907204222;13.03.2017;QUALCOMM VENTURES;BORQS INTERNATIONAL HOLDING CORPORATION;KY;3663 / 7374;Minority stake unknown %
125.;1601411016;11.10.2012;QUALCOMM VENTURES;PONTIS LTD;IL;7311 / 7374;Minority stake unknown %
126.;1909608383;14.09.2012;QUALCOMM VENTURES;BRAIN CORPORATION;US;7372 / 7374;Minority stake unknown %
127.;1909176946;22.12.2014;QUALCOMM VENTURES;PREDILYTICS INC.;US;7374;Minority stake unknown %
128.;1909125708;17.07.2014;QUALCOMM VENTURES;EDICO GENOME CORPORATION;US;3826 / 7372 / 7374;Minority stake unknown %
129.;1909121535;01.07.2014;QUALCOMM VENTURES;STREETLINE INC.;US;7372 / 7374;Minority stake unknown %
130.;1601401673;04.09.2012;QUALCOMM VENTURES;MOBOTAP INC.;US;7372;Minority stake unknown %
131.;1601383863;03.07.2012;QUALCOMM VENTURES;FIKSU INC.;US;7374;Minority stake unknown %
132.;1601063070;11.03.2009;QUALCOMM VENTURES;VALIDITY SENSORS INC.;US;3674 / 7371 / 8731;Minority stake unknown %
133.;1909227699;28.04.2015;QUALCOMM VENTURES;CLARIFAI INC.;US;7372 / 7374;Minority stake unknown %
134.;1601487961;20.06.2013;QUALCOMM VENTURES;TEMPO AI INC.;US;7372;Minority stake
135.;1907095133;13.04.2015;QUALCOMM VENTURES;ZN RETAIL PVT LTD;IN;5411 / 5961;Minority stake unknown %
136.;1601027533;22.02.2008;QUALCOMM VENTURES;ARIESO LTD;GB;7371 / 7374;Minority stake unknown %
137.;1909396904;29.01.2016;QUALCOMM VENTURES;WEBRADAR SOFTWARE E SERVICOS PARA TELECOM SA;BR;7371 / 7372;Minority stake unknown %
138.;1909241842;03.06.2015;QUALCOMM VENTURES;MANTISVISION LTD;IL;3861 / 7371;Minority stake unknown %
139.;1909425441;11.04.2016;QUALCOMM VENTURES;EVEN RESPONSIBLE FINANCE INC.;US;7372;Minority stake unknown %
140.;1601051616;15.02.2009;QUALCOMM VENTURES;CE INFO SYSTEMS PVT LTD;IN;7372 / 7374;Minority stake unknown %
141.;1909466709;30.11.2016;QUALCOMM VENTURES;ATTACKIQ INC.;US;8731 / 8732 / 8733;Minority stake unknown %
142.;1601031046;17.11.2008;QUALCOMM VENTURES;SIIMPEL CORPORATION;US;3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679;Minority stake unknown %
143.;1601260601;05.04.2011;QUALCOMM VENTURES;TXTEAGLE INC.;US;4899 / 7371 / 7389;Minority stake unknown %
144.;1943027191;02.04.2018;QUALCOMM VENTURES;MOVEINSYNC TECHNOLOGY SOLUTIONS PVT LTD;IN;7372 / 7374;Minority stake unknown %
145.;1941120792;13.08.2018;QUALCOMM VENTURES;AIRSPACE TECHNOLOGIES;US;7371;Minority stake unknown %
146.;1909033101;21.10.2013;QUALCOMM VENTURES;PANORAMIC POWER LTD;IL;7372 / 7374;Minority stake unknown %
147.;1601125102;31.12.2004;QUALCOMM VENTURES;INVENSENSE INC.;US;3674 / 3823;Minority stake unknown %
148.;1907161686;28.06.2016;QUALCOMM VENTURES;CASA2 STAYS PVT LTD;IN;7011 / 7041;Minority stake unknown %
149.;1907003697;02.12.2013;QUALCOMM VENTURES;HEALTHVISTA INDIA PVT LTD;IN;8082;Minority stake 30%
150.;1633019840;12.01.2011;QUALCOMM VENTURES;APALYA TECHNOLOGIES PVT LTD;IN;7372;Minority stake unknown %
151.;1909606149;17.07.2017;QUALCOMM VENTURES;REACH ROBOTICS LTD;GB;7372 / 8711;Minority stake unknown %
152.;1909231887;10.05.2015;QUALCOMM VENTURES;ZESTY LTD;GB;7374;Minority stake unknown %
153.;1941075816;02.05.2018;QUALCOMM VENTURES;MANDAE SERVICOS DE CONSULTORIA EM LOGISTICA SA;BR;7372 / 7374;Minority stake unknown %
154.;1909572121;25.04.2017;QUALCOMM VENTURES;SENSE360 INC.;US;7372;Minority stake unknown %
155.;1909299460;20.10.2015;QUALCOMM VENTURES;KALEO SOFTWARE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
156.;1909166488;11.11.2014;QUALCOMM VENTURES;CAVENDISH KINETICS INC.;US;3674;Minority stake unknown %
157.;1909141024;02.09.2014;QUALCOMM VENTURES;CARDINAL TECNOLOGIA LTDA;BR;7372 / 7374;Minority stake unknown %
158.;1909069024;05.02.2014;QUALCOMM VENTURES;NOOM INC.;US;7371 / 7372;Minority stake unknown %
159.;1909223021;16.04.2015;QUALCOMM VENTURES;BRAINBOW LTD;GB;7372;Minority stake unknown %
160.;1909209558;11.03.2015;QUALCOMM VENTURES;STARMAKER INTERACTIVE INC.;US;7372 / 7374;Minority stake unknown %
161.;1907107339;22.06.2015;QUALCOMM VENTURES;MANGOPLATE CO., LTD;KR;7374;Minority stake unknown %
162.;1941044441;21.02.2018;QUALCOMM VENTURES;DOVER MICROSYSTEMS INC.;US;7372 / 7374;Minority stake unknown %
163.;1907244872;30.09.2017;QUALCOMM VENTURES;YOURSTORY MEDIA PVT LTD;IN;2711 / 8999;Minority stake unknown %
164.;1601440783;28.01.2013;QUALCOMM VENTURES;ZOOM VIDEO COMMUNICATIONS INC.;US;7374;Minority stake unknown %
165.;1601325157;14.12.2011;QUALCOMM VENTURES;POWERCLOUD SYSTEMS INC.;US;7371 / 7374;Minority stake unknown %
166.;1601464950;18.09.2014;QUALCOMM VENTURES;PLACEMETER INC.;US;7374;Minority stake unknown %
167.;1601453247;07.03.2013;QUALCOMM VENTURES;MATTERPORT INC.;US;3575 / 3861 / 7371 / 7372 / 7374;Minority stake unknown %
168.;1907210281;11.04.2017;QUALCOMM VENTURES;63IDEAS INFOLABS PVT LTD;IN;7374;Minority stake unknown %
169.;1941011044;17.07.2015;QUALCOMM VENTURES;WORKSPACE SOFTWARE INC.;US;7372 / 7374;Minority stake unknown %
170.;1909649438;02.11.2017;QUALCOMM VENTURES;WILIOT LTD;IL;3674;Minority stake unknown %
171.;1909510421;17.11.2016;QUALCOMM VENTURES;M87 INC.;US;7372;Minority stake unknown %
172.;1909260571;16.07.2015;QUALCOMM VENTURES;WORKSPOT INC.;US;7372 / 7374;Minority stake unknown %
173.;1909184690;03.03.2014;QUALCOMM VENTURES;GOBALTO INC.;US;7371 / 7372 / 7374;Minority stake unknown %
174.;1907057192;07.08.2014;QUALCOMM VENTURES;MOVEINSYNC TECHNOLOGY SOLUTIONS PVT LTD;IN;7372 / 7374;Minority stake unknown %
175.;1909469985;03.08.2016;QUALCOMM VENTURES;OWLCHEMY LABS INC.;US;7371 / 7372;Minority stake unknown %
176.;1907015226;30.10.2013;QUALCOMM VENTURES;APPSDAILY SOLUTIONS PVT LTD;IN;7372;Minority stake unknown %
177.;1601423981;26.11.2012;QUALCOMM VENTURES;CLEARCARE INC.;US;7372 / 7374;Minority stake unknown %
178.;1601263359;14.04.2011;QUALCOMM VENTURES;PANORAMIC POWER LTD;IL;7372 / 7374;Minority stake unknown %
179.;1601162855;23.02.2010;QUALCOMM VENTURES;VISAGE MOBILE INC.;US;7371 / 7372 / 7374;Minority stake unknown %
180.;1909115151;31.03.2014;QUALCOMM VENTURES;INGRESSE - INGRESSOS PARA EVENTOS SA;BR;7372 / 7374;Minority stake unknown %
181.;1601434860;04.01.2013;QUALCOMM VENTURES;SMART BALLOON INC.;US;7372 / 7374;Minority stake unknown %
182.;1909148801;22.09.2014;QUALCOMM VENTURES;LOGGI TECNOLOGIA LTDA;BR;7374;Minority stake unknown %
183.;1909132751;05.08.2014;QUALCOMM VENTURES;OPENSIGNAL INC.;US;7372 / 7374;Minority stake unknown %
184.;1909050523;10.12.2013;QUALCOMM VENTURES;STARMAKER INTERACTIVE INC.;US;7372 / 7374;Minority stake unknown %
185.;1907115383;01.09.2015;QUALCOMM VENTURES;REVERIE LANGUAGE TECHNOLOGIES PVT LTD;IN;7372 / 7374;Minority stake unknown %
186.;1601236692;27.10.2010;QUALCOMM VENTURES;UCIRRUS CORPORATION;US;7371 / 7374;Minority stake unknown %
187.;621356;11.02.2008;QUALCOMM VENTURES;DIGIT WIRELESS INC.;US;3661;Minority stake unknown %
188.;429123;20.03.2006;QUALCOMM VENTURES;AIRPLAY NETWORK INC.;US;7371 / 7372;Minority stake unknown %
189.;1633043024;17.08.2011;QUALCOMM VENTURES;ONWARD MOBILITY SOLUTION PVT LTD;IN;7371 / 7372;Minority stake unknown %
190.;1907020468;12.11.2012;QUALCOMM VENTURES;PLAYNERY INC.;KR;7372 / 8999;Minority stake unknown %
191.;1601459867;28.03.2013;QUALCOMM VENTURES;PLAYDEK INC.;US;7371 / 7372 / 7374;Minority stake unknown %
192.;1907175906;04.10.2016;QUALCOMM VENTURES;APPSDAILY SOLUTIONS PVT LTD;IN;7372;Minority stake unknown %
193.;654044;24.04.2008;QUALCOMM VENTURES;BUZZD;US;7379 / 8999;Minority stake unknown %
194.;1907170840;29.08.2016;QUALCOMM VENTURES;WHATAP LABS INC.;KR;7372 / 7374;Minority stake unknown %
195.;1909547461;23.02.2017;QUALCOMM VENTURES;STORJ LABS INC.;US;7374;Minority stake unknown %
196.;1909562451;01.06.2016;QUALCOMM VENTURES;STRIDER;BR;3822 / 7372 / 7374;Minority stake unknown %
197.;1909234657;19.05.2015;QUALCOMM VENTURES;ZEEK MOBILE UK LTD;GB;7372;Minority stake unknown %
198.;1909095218;15.04.2014;QUALCOMM VENTURES;M87 INC.;US;7372;Minority stake unknown %
199.;1601465977;17.04.2013;QUALCOMM VENTURES;BITBAR TECHNOLOGIES OY;FI;7374;Minority stake unknown %
200.;1601294867;23.08.2011;QUALCOMM VENTURES;ALIVECOR INC.;US;7371 / 7372;Minority stake unknown %
201.;1601123961;14.10.2009;QUALCOMM VENTURES;APALYA TECHNOLOGIES PVT LTD;IN;7372;Minority stake unknown %
202.;1907145324;07.03.2016;QUALCOMM VENTURES;63IDEAS INFOLABS PVT LTD;IN;7374;Minority stake unknown %
203.;1909188434;15.01.2015;QUALCOMM VENTURES;SENSE360 INC.;US;7372;Minority stake
204.;1909536249;27.01.2017;QUALCOMM VENTURES;SPARTA PERFORMANCE SCIENCE LLC;US;7371 / 7372;Minority stake unknown %
205.;1909137583;21.08.2014;QUALCOMM VENTURES;SWIFT NAVIGATION INC.;US;3663 / 7371 / 7372;Minority stake unknown %
