;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941094895;13.06.2018;TATE & LYLE VENTURES LTD;EVOLVE BIOSYSTEMS INC.;US;8731;Minority stake unknown %
2.;1909585585;30.05.2017;TATE & LYLE VENTURES LTD;EVOLVE BIOSYSTEMS INC.;US;8731;Minority stake unknown %
3.;1909274414;17.08.2015;TATE & LYLE VENTURES LTD;EVOLVE BIOSYSTEMS INC.;US;8731;Minority stake unknown %
4.;1601170797;23.03.2010;TATE & LYLE VENTURES LTD;AQUAPHARM BIO-DISCOVERY LTD;GB;8731;Minority stake unknown %
5.;1941101846;08.05.2018;TATE & LYLE VENTURES LTD;PROLUPIN GMBH;DE;2099;Minority stake unknown %
