;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1941061735;04.04.2018;IROBOT VENTURES;6 RIVER SYSTEMS INC.;US;7372 / 7374;Minority stake unknown %
2.;1909610651;26.07.2017;IROBOT VENTURES;6 RIVER SYSTEMS INC.;US;7372 / 7374;Minority stake unknown %
3.;1909603828;11.07.2017;IROBOT VENTURES;INTUITION ROBOTICS LTD;IL;3669;Minority stake unknown %
4.;1909163674;03.11.2014;IROBOT VENTURES;PARACOSM INC.;US;7374;Minority stake unknown %
5.;1909543316;14.02.2017;IROBOT VENTURES;INTUITION ROBOTICS LTD;IL;3669;Minority stake unknown %
