;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s);Deal type
1.;1909281474;27.07.2015;CERNER CAPITAL;VOALTE INC.;US;3663 / 7372 / 7374;Minority stake unknown %
2.;1909192597;26.01.2015;CERNER CAPITAL;CLARITAS GENOMICS INC.;US;8071;Minority stake unknown %
3.;1601444229;06.02.2013;CERNER CAPITAL;SOTERA WIRELESS INC.;US;3845;Minority stake unknown %
4.;1909251438;25.06.2015;CERNER CAPITAL;CUREATR INC.;US;7374;Minority stake unknown %
5.;1601324736;13.12.2011;CERNER CAPITAL;SOTERA WIRELESS INC.;US;3845;Minority stake unknown %
6.;1909050404;05.12.2013;CERNER CAPITAL;CLARITAS GENOMICS INC.;US;8071;Minority stake unknown %
