;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
76.;1601345995;23.02.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;PINGER INC.;US;7371 / 7372
77.;1909620509;18.07.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;LEANIX GMBH;DE;7372 / 7374
78.;84247;15.02.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;NEWSPAGE PTE LTD;SG;7371 / 7374
79.;1601318804;13.10.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;COST XPERT AG;DE;7371 / 7374 / 7389
80.;1601369571;10.05.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;MOVIEPILOT GMBH;DE;7374
81.;96514;21.08.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;BLUEFACTORY AB;SE;7371 / 7372
82.;1909083438;17.03.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;BOXFISH;US;7372 / 7374
83.;1601230149;23.11.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;MYTHINGS (UK) LTD;GB;7311 / 7371 / 8999
84.;648637;10.06.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;DECARTA INC.;US;7371 / 7372
85.;587762;23.10.2007;DEUTSCHE TELEKOM CAPITAL PARTNERS;AXENTRA CORPORATION;CA;7371 / 7372
86.;147539;27.01.2003;DEUTSCHE TELEKOM CAPITAL PARTNERS;FLASH NETWORKS LTD;IL;4899
87.;140297;02.12.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;NAWOTEC GMBH;DE;8731
88.;99122;24.09.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;MESSAGEVINE INC.;US;7371 / 7372
89.;1601220689;04.10.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZIMORY GMBH;DE;7371
90.;112617;06.02.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;ALFABET META-MODELING AG;DE;7371
91.;83595;09.02.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;PAYMENTOR;DK;7371
92.;92570;22.06.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;TELESENSKSCL AG;DE;7372
93.;1601060309;;DEUTSCHE TELEKOM CAPITAL PARTNERS;JAJAH INC.;US;4813 / 4822
94.;1601319279;16.11.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;6 WUNDERKINDER GMBH;DE;7372
95.;1601221199;24.09.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;INNOVID INC.;US;7374
96.;50998;22.09.1999;DEUTSCHE TELEKOM CAPITAL PARTNERS;E-STAMP CORPORATION;DE;4899 / 7371
97.;327085;15.03.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;ONEACCESS SA;FR;3575 / 3669 / 7374
98.;1601437149;14.01.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;KWARTER INC.;US;7371 / 7372
99.;126009;30.07.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;CATEGORIC SOFTWARE LTD;GB;7371
100.;1601305048;28.09.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;CONTENT FLEET GMBH;DE;7372 / 7374
101.;89010;18.01.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;NOVILIT INC.;US;7371
102.;1909154662;01.10.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZENGUARD GMBH;DE;7371 / 7372
103.;1601014981;15.07.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;SWOODOO GMBH;DE;4899
104.;1909529375;12.01.2017;DEUTSCHE TELEKOM CAPITAL PARTNERS;ROAMBEE CORPORATION;US;3669 / 7371 / 7372 / 7374
105.;109631;22.01.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;MINDMATICS AG;DE;7311 / 7312 / 7313 / 7319 / 7331 / 8743
106.;1601360576;04.04.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;FLAREGAMES GMBH;DE;7371 / 7372
107.;1909308130;13.11.2015;DEUTSCHE TELEKOM CAPITAL PARTNERS;YALLO TECHNOLOGIES (ISRAEL) LTD;IL;7371 / 7372
108.;1601448930;21.02.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;SMARKETS LTD;GB;7993
109.;162421;15.04.2003;DEUTSCHE TELEKOM CAPITAL PARTNERS;GAMIGO AG;DE;7371 / 8999
110.;235143;23.03.2004;DEUTSCHE TELEKOM CAPITAL PARTNERS;BELAIR NETWORKS INC.;CA;3661
111.;1601179050;01.12.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;CRACKLE INC.;US;8999
112.;75432;31.08.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;IPANEMA TECHNOLOGIES SA;FR;7371 / 7372 / 7374
113.;147867;18.12.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;GOODEX AG;DE;7371
114.;83898;21.09.1998;DEUTSCHE TELEKOM CAPITAL PARTNERS;PLANETPORTAL.COM;US;7311 / 7371 / 8999
115.;1601464175;11.04.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;AUTOREF INC.;US;7374 / 8999
116.;147865;10.09.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;GOODEX AG;DE;7371
117.;1909172800;13.11.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;ECOIS.ME;PL;7372
118.;56272;29.02.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;IVISTAR KOMMUNIKATIONSSYSTEME AG;DE;3571 / 7371
119.;57262;21.02.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;APPGATE AB;GB;7371
120.;75969;10.04.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;WORK-CENTER GMBH;DE;7371 / 7373 / 7379
121.;81470;14.11.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;XMARKET AG;DE;8999
122.;82785;24.10.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;HUMANIT HUMAN INFORMATION TECHNOLOGIES AG;DE;7371
123.;83892;04.02.1998;DEUTSCHE TELEKOM CAPITAL PARTNERS;INTERSHOP COMMUNICATIONS AG;DE;7372 / 7374
124.;83895;05.05.1998;DEUTSCHE TELEKOM CAPITAL PARTNERS;MIND CTI AG;DE;7371
125.;83905;16.11.1999;DEUTSCHE TELEKOM CAPITAL PARTNERS;TESSERACT COMMUNICATIONS INC.;US;7371 / 7379 / 8999
126.;84024;23.01.1998;DEUTSCHE TELEKOM CAPITAL PARTNERS;BNED BROADBAND NETWORK DESIGN INC.;US;7371
127.;84261;20.02.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;INTERCOPE;DE;3661 / 7371
128.;89005;;DEUTSCHE TELEKOM CAPITAL PARTNERS;FLIGHTS.COM TRAVEL SOLUTIONS AG;DE;4724 / 8999
129.;98809;19.09.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;MOBILE COMMERCE LTD;GB;2711 / 2721 / 2731 / 2741 / 2771 / 4899 / 7372
130.;101696;24.10.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;HUMANIT HUMAN INFORMATION TECHNOLOGIES AG;DE;7371
131.;104144;12.12.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;COREMEDIA AG;DE;7372 / 7379
132.;123674;22.04.2002;DEUTSCHE TELEKOM CAPITAL PARTNERS;ONEBRIDGE AG;DE;7371
133.;170047;15.05.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;MAXXIO TECHNOLOGIES AG;DE;3661 / 3663 / 3669 / 7371 / 7372 / 7373
134.;177640;08.07.2003;DEUTSCHE TELEKOM CAPITAL PARTNERS;FLARION TECHNOLOGIES INC.;US;3663 / 3669 / 8731
135.;182581;11.09.2001;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETBYTEL INC.;US;7371 / 7373
136.;338823;12.04.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;NOVA RATIO AG;DE;7372
137.;384105;06.10.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;VOICEOBJECTS INC.;US;7371 / 7372
138.;399227;29.11.2005;DEUTSCHE TELEKOM CAPITAL PARTNERS;NOMINUM INC.;US;7371 / 7372
139.;408337;09.01.2006;DEUTSCHE TELEKOM CAPITAL PARTNERS;STARENT NETWORKS CORPORATION;US;7371 / 7372 / 7373
140.;467202;11.08.2006;DEUTSCHE TELEKOM CAPITAL PARTNERS;FIRSTGATE HOLDING AG;CH;7374
141.;482885;25.09.2006;DEUTSCHE TELEKOM CAPITAL PARTNERS;COREOPTICS GMBH;DE;3661 / 3663 / 3669 / 3672 / 3674 / 3675 / 3676 / 3677 / 3678 / 3679
142.;492102;15.11.2006;DEUTSCHE TELEKOM CAPITAL PARTNERS;4G SYSTEMS GMBH;DE;3661
143.;596443;05.11.2007;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZWEITGEIST GMBH;DE;7371
144.;614605;31.12.2004;DEUTSCHE TELEKOM CAPITAL PARTNERS;MOBILE COMMERCE LTD;GB;2711 / 2721 / 2731 / 2741 / 2771 / 4899 / 7372
145.;627471;03.03.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;UBIQUISYS LTD;GB;3575 / 7371
146.;1601007204;12.03.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZIMORY GMBH;DE;7371
147.;1601008468;09.06.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;ROAMWARE INC.;US;7371 / 7372
148.;1601027510;18.12.2007;DEUTSCHE TELEKOM CAPITAL PARTNERS;MEDIAPEERS GMBH;DE;7372 / 7374
149.;1601035457;02.12.2008;DEUTSCHE TELEKOM CAPITAL PARTNERS;MYON-ID MEDIA GMBH;DE;4899
150.;1601062926;16.08.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;IGA WORLDWIDE INC.;US;7311 / 7379
151.;1601067275;02.04.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;SONES GMBH;DE;7371 / 7372
152.;1601110543;08.09.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;ACTELIS NETWORKS INC.;US;3669 / 4899 / 7379
153.;1601121843;29.05.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;MOVIEPILOT GMBH;DE;7374
154.;1601127880;26.10.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;YOOCHOOSE GMBH;DE;7371
155.;1601130932;03.11.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;PORTAVITA BV;NL;7371
156.;1601130935;03.11.2009;DEUTSCHE TELEKOM CAPITAL PARTNERS;MGRID BV;NL;7374
157.;1601162670;23.02.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;JCOM1 AG;DE;7371
158.;1601164123;01.03.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;LANTIQ DEUTSCHLAND GMBH;DE;3674
159.;1601185669;;DEUTSCHE TELEKOM CAPITAL PARTNERS;APPRUPT GMBH;DE;8742
160.;1601209683;11.08.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;MAGARI INTERNET GMBH;DE;7371 / 8999
161.;1601220932;06.10.2010;DEUTSCHE TELEKOM CAPITAL PARTNERS;INTELLIGENT APPS GMBH;DE;7372
162.;1601239644;18.01.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;NETBISCUITS GMBH;DE;7371 / 7372
163.;1601240035;17.01.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;SONES GMBH;DE;7371 / 7372
164.;1601247797;16.02.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;CUCULUS GMBH;DE;7374
165.;1601259137;30.03.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;FUTUREE FUEL CELL SOLUTIONS GMBH;DE;3629 / 3674 / 3692 / 3699
166.;1601270243;13.05.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;BODYTEL EUROPE GMBH;DE;3829 / 8731
167.;1601281593;01.06.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;6 WUNDERKINDER GMBH;DE;7372
168.;1601302923;25.08.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;CIPHERCLOUD INC.;US;7371 / 7372
169.;1601332215;11.01.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;9FLATS GMBH;DE;7374
170.;1601338098;26.01.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;CLIPKIT GMBH;DE;7389 / 8742
171.;1601343485;16.09.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;APPRUPT GMBH;DE;8742
172.;1601390359;23.07.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;DROPGIFTS GMBH;DE;7372 / 7374
173.;1601412849;11.09.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;CONTENT FLEET GMBH;DE;7372 / 7374
174.;1601438419;16.01.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;IVERSITY GMBH;DE;7374 / 8299
175.;1601438437;06.11.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;SMARCHIVE GMBH;DE;7371
176.;1601462122;05.04.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;STREETLIGHT DATA INC.;US;7374
177.;1909069623;;DEUTSCHE TELEKOM CAPITAL PARTNERS;TEQCYCLE SOLUTIONS GMBH;DE;4953 / 5065 / 7371
178.;1909077047;16.12.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;SALONMEISTER GMBH;DE;7374
179.;1909154391;29.01.2013;DEUTSCHE TELEKOM CAPITAL PARTNERS;RANOVUS INC.;CA;3663 / 8731
180.;1909154403;29.02.2012;DEUTSCHE TELEKOM CAPITAL PARTNERS;RANOVUS INC.;CA;3663 / 8731
181.;1909156535;15.10.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;IVERSITY GMBH;DE;7374 / 8299
182.;1909183190;18.12.2014;DEUTSCHE TELEKOM CAPITAL PARTNERS;GINI GMBH;DE;7371 / 7372
183.;1909297923;15.10.2015;DEUTSCHE TELEKOM CAPITAL PARTNERS;IVERSITY GMBH;DE;7374 / 8299
184.;1909322102;16.12.2015;DEUTSCHE TELEKOM CAPITAL PARTNERS;GINI GMBH;DE;7371 / 7372
185.;1909396660;27.01.2016;DEUTSCHE TELEKOM CAPITAL PARTNERS;ZENGUARD GMBH;DE;7371 / 7372
186.;1941049562;06.03.2018;DEUTSCHE TELEKOM CAPITAL PARTNERS;KEEPLER DATA TECH SL;ES;7379
187.;89011;03.05.2000;DEUTSCHE TELEKOM CAPITAL PARTNERS;TISS;DE;4724 / 7379 / 8999
188.;1601290040;02.08.2011;DEUTSCHE TELEKOM CAPITAL PARTNERS;VELIQ BV;NL;7371
