;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;1601494800;09.07.2013;AMOREPACIFIC VENTURES;TRIA BEAUTY INC.;US;3845 / 5047 / 5961 / 5999
2.;1601431534;11.02.2014;AMOREPACIFIC VENTURES;LITHERA INC.;US;2834 / 8731
3.;1633122621;11.03.2013;AMOREPACIFIC VENTURES;PACIFIC PHARMACEUTICAL CO., LTD;KR;2834 / 5122
4.;1907173275;16.06.2016;AMOREPACIFIC VENTURES;ELASTAGEN PTY LTD;AU;3841 / 8731
5.;1907135484;07.01.2016;AMOREPACIFIC VENTURES;ELASTAGEN PTY LTD;AU;3841 / 8731
6.;1601450102;26.02.2013;AMOREPACIFIC VENTURES;BRICKELL BIOTECH INC.;US;5122 / 8731
7.;1907161035;;AMOREPACIFIC VENTURES;WE-DREAM CO., LTD;KR;7389
8.;1633030410;04.10.2010;AMOREPACIFIC VENTURES;AMORE PACIFIC (THAILAND) LTD;TH;5122
