;Deal Number;Completed date;Acquiror name;Target name;Target country code;Target US SIC code(s)
1.;125920;31.07.2002;AMD VENTURES;SAIFUN SEMICONDUCTORS LTD;IL;3572 / 3674
2.;141516;10.12.2002;AMD VENTURES;NEWISYS INC.;US;7371 / 7372
3.;1909122154;07.07.2014;AMD VENTURES;MATTERPORT INC.;US;3575 / 3861 / 7371 / 7372 / 7374
4.;1601310339;06.05.2014;AMD VENTURES;BLUESTACK SYSTEMS INC.;US;7371 / 7372
5.;1909216797;31.03.2015;AMD VENTURES;RAPTR INC.;US;7374
6.;555762;06.07.2007;AMD VENTURES;TRANSMETA CORPORATION;US;3571 / 7371
7.;272149;19.03.2001;AMD VENTURES;NLINE CORPORATION;US;3812 / 3822 / 3823 / 3824 / 3825 / 3826 / 3829 / 3844 / 3845
8.;1601323777;08.12.2011;AMD VENTURES;INCONTEXT SOLUTIONS INC.;US;7374
9.;1601349310;06.03.2012;AMD VENTURES;NUVIXA INC.;US;7372 / 7374
